Abstract,Score
10807402.txt,2
10948173.txt,2
10950785.txt,2
11119516.txt,1
11179291.txt,1
11254553.txt,2
11292739.txt,2
11466338.txt,2
11500432.txt,2
11531949.txt,1
11751976.txt,2
12011031.txt,1
12472841.txt,1
12488564.txt,2
12761119.txt,2
14760942.txt,2
15039304.txt,1
15452181.txt,1
15557597.txt,2
15617521.txt,2
15664914.txt,1
15731037.txt,2
15829401.txt,2
15864780.txt,2
15887115.txt,2
15940666.txt,2
16040961.txt,1
16081829.txt,2
16107279.txt,2
16113266.txt,1
16184519.txt,2
16299317.txt,2
16369686.txt,2
24196432,1
23545566,2
23307809,1
23189125,1
22728762,1
22551807,2
22069376,1
21892173,1
21628519,1
11500432,2
31857085,1
26557697,2
23509146,2
17929089,2
17894423,2
16710454,1
16369686,2
16113266,1
16081829,2
15731037,2
11292739,2
9632691,1
14635040,2
32777979,1
32116095,1
20828565,1
19309365,2
16493599,1
16482216,1
16426773,2
20630471,2
12472841,1
24325366,2
32566588,2
23746244,2
25352374,2
32634127,2
31010851,1
28939643,2
16299317,2
15358660,2
11531949,2
2237403,1
19933855,1
19855398,1
12538673,2
12071677,2
11918712,2
31805013,2
29914927,2
29194752,2
27389350,1
26940070,2
16621997,2
16710454,1
16751401,2
16926411,2
17000004,2
17215251,1
17436230,2
17894423,2
17929089,2
17998313,2
18039834,2
18212072,2
1849508,2
18641348,2
10512755.txt,2
10535482.txt,2
10586069.txt,2
10692120.txt,2
10768988.txt,2
10807402.txt,2
10948173.txt,2
11020382.txt,2
11119516.txt,1
11204803.txt,2
11207625.txt,2
11292739.txt,2
11387317.txt,2
11466338.txt,2
11500432.txt,2
11531949.txt,2
11559643.txt,2
11728477.txt,2
11751976.txt,2
11788577.txt,1
11854212.txt,1
12102690.txt,1
12488564.txt,2
12719455.txt,2
12761119.txt,2
12925134.txt,2
12957354.txt,2